start month,start day,start year,start hour,start minute,ampm,label
2,2,1986,6,27,AM,Sagittarius
3,28,1986,3,47,AM,Capricorn
10,9,1986,1,1,AM,Aquarius
11,26,1986,2,35,AM,Pisces
1,8,1987,12,20,PM,Aries
2,20,1987,2,44,PM,Taurus
4,5,1987,4,37,PM,Gemini
5,21,1987,3,1,AM,Cancer
7,6,1987,4,46,PM,Leo
8,22,1987,7,51,PM,Virgo
10,8,1987,7,27,PM,Libra
11,24,1987,3,19,AM,Scorpio
1,8,1988,3,24,PM,Sagittarius
2,22,1988,10,15,AM,Capricorn
4,6,1988,9,44,PM,Aquarius
5,22,1988,7,42,AM,Pisces
7,13,1988,8,0,PM,Aries
10,23,1988,10,1,PM,Pisces
11,1,1988,12,57,PM,Aries
1,19,1989,8,11,AM,Taurus
3,11,1989,8,51,AM,Gemini
4,29,1989,4,37,AM,Cancer
6,16,1989,2,10,PM,Leo
8,3,1989,1,35,PM,Virgo
9,19,1989,2,38,PM,Libra
11,4,1989,5,29,AM,Scorpio
12,18,1989,4,57,AM,Sagittarius
1,29,1990,2,10,PM,Capricorn
3,11,1990,3,54,PM,Aquarius
4,20,1990,10,9,PM,Pisces
5,31,1990,7,11,AM,Aries
7,12,1990,2,44,PM,Taurus
8,31,1990,11,40,AM,Gemini
12,14,1990,7,46,AM,Taurus
1,21,1991,1,15,AM,Gemini
4,3,1991,12,49,AM,Cancer
5,26,1991,12,19,PM,Leo
7,15,1991,12,36,PM,Virgo
9,1,1991,6,38,AM,Libra
10,16,1991,7,5,PM,Scorpio
11,29,1991,2,19,AM,Sagittarius
1,9,1992,9,47,AM,Capricorn
2,18,1992,4,38,AM,Aquarius
3,28,1992,2,4,AM,Pisces
5,5,1992,9,36,PM,Aries
6,14,1992,3,56,PM,Taurus
7,26,1992,6,59,PM,Gemini
9,12,1992,6,5,AM,Cancer
4,27,1993,11,40,PM,Leo
6,23,1993,7,42,AM,Virgo
8,12,1993,1,10,AM,Libra
9,27,1993,2,15,AM,Scorpio
11,9,1993,5,29,AM,Sagittarius
12,20,1993,12,34,AM,Capricorn
1,28,1994,4,5,AM,Aquarius
3,7,1994,11,1,AM,Pisces
4,14,1994,6,2,PM,Aries
5,23,1994,10,37,PM,Taurus
7,3,1994,10,30,PM,Gemini
8,16,1994,7,15,PM,Cancer
10,4,1994,3,48,PM,Leo
12,12,1994,11,32,AM,Virgo
1,22,1995,11,48,PM,Leo
5,25,1995,4,9,PM,Virgo
7,21,1995,9,21,AM,Libra
9,7,1995,7,0,AM,Scorpio
10,20,1995,9,2,PM,Sagittarius
11,30,1995,1,57,PM,Capricorn
1,8,1996,11,2,AM,Aquarius
2,15,1996,11,50,AM,Pisces
3,24,1996,3,12,PM,Aries
5,2,1996,6,16,PM,Taurus
6,12,1996,2,42,PM,Gemini
7,25,1996,6,32,PM,Cancer
9,9,1996,8,2,PM,Leo
10,30,1996,7,13,AM,Virgo
1,3,1997,8,10,AM,Libra
3,8,1997,7,49,PM,Virgo
6,19,1997,8,30,AM,Libra
8,14,1997,8,42,AM,Scorpio
9,28,1997,10,22,PM,Sagittarius
11,9,1997,5,33,AM,Capricorn
12,18,1997,6,37,AM,Aquarius
1,25,1998,9,26,AM,Pisces
3,4,1998,4,18,PM,Aries
4,13,1998,1,4,AM,Taurus
5,24,1998,3,42,AM,Gemini
7,6,1998,9,0,AM,Cancer
8,20,1998,7,16,PM,Leo
10,7,1998,12,28,PM,Virgo
11,27,1998,10,10,AM,Libra
1,26,1999,11,59,AM,Scorpio
5,5,1999,9,32,PM,Libra
7,5,1999,3,59,AM,Scorpio
9,2,1999,7,29,PM,Sagittarius
10,17,1999,1,35,AM,Capricorn
11,26,1999,6,56,AM,Aquarius
1,4,2000,3,1,AM,Pisces
2,12,2000,1,4,AM,Aries
3,23,2000,1,25,AM,Taurus
5,3,2000,7,18,PM,Gemini
6,16,2000,12,29,PM,Cancer
8,1,2000,1,21,AM,Leo
9,17,2000,12,19,AM,Virgo
11,4,2000,2,0,AM,Libra
12,23,2000,2,37,PM,Scorpio
2,14,2001,8,6,PM,Sagittarius
9,8,2001,5,51,PM,Capricorn
10,27,2001,5,19,PM,Aquarius
12,8,2001,9,52,PM,Pisces
1,18,2002,10,53,PM,Aries
3,1,2002,3,5,PM,Taurus
4,13,2002,5,36,PM,Gemini
5,28,2002,11,43,AM,Cancer
7,13,2002,3,23,PM,Leo
8,29,2002,2,38,PM,Virgo
10,15,2002,5,38,PM,Libra
12,1,2002,2,26,PM,Scorpio
1,17,2003,4,22,AM,Sagittarius
3,4,2003,9,17,PM,Capricorn
4,21,2003,11,48,PM,Aquarius
6,17,2003,2,25,AM,Pisces
12,16,2003,1,24,PM,Aries
2,3,2004,10,4,AM,Taurus
3,21,2004,7,39,AM,Gemini
5,7,2004,8,45,AM,Cancer
6,23,2004,8,50,PM,Leo
8,10,2004,10,14,AM,Virgo
9,26,2004,9,15,AM,Libra
11,11,2004,5,10,AM,Scorpio
12,25,2004,4,4,PM,Sagittarius
2,6,2005,6,31,PM,Capricorn
3,20,2005,6,2,PM,Aquarius
5,1,2005,2,58,AM,Pisces
6,12,2005,2,30,AM,Aries
7,28,2005,5,12,AM,Taurus
2,17,2006,10,44,PM,Gemini
4,14,2006,12,59,AM,Cancer
6,3,2006,6,43,PM,Leo
7,22,2006,6,53,PM,Virgo
9,8,2006,4,18,AM,Libra
10,23,2006,4,38,PM,Scorpio
12,6,2006,4,58,AM,Sagittarius
1,16,2007,8,54,PM,Capricorn
2,26,2007,1,32,AM,Aquarius
4,6,2007,8,49,AM,Pisces
5,15,2007,2,6,PM,Aries
6,24,2007,9,27,PM,Taurus
8,7,2007,6,1,AM,Gemini
9,28,2007,11,54,PM,Cancer
12,31,2007,4,0,PM,Gemini
3,4,2008,10,1,AM,Cancer
5,9,2008,8,20,PM,Leo
7,1,2008,4,21,PM,Virgo
8,19,2008,10,3,AM,Libra
10,4,2008,4,34,AM,Scorpio
11,16,2008,8,26,AM,Sagittarius
12,27,2008,7,30,AM,Capricorn
2,4,2009,3,55,PM,Aquarius
3,15,2009,3,20,AM,Pisces
4,22,2009,1,44,PM,Aries
5,31,2009,9,18,PM,Taurus
7,12,2009,2,56,AM,Gemini
8,25,2009,5,15,PM,Cancer
10,16,2009,3,32,PM,Leo
6,7,2010,6,11,AM,Virgo
7,29,2010,11,46,PM,Libra
