start month,start day,start year,start hour,start minute,ampm,label
10,9,1973,8,8,AM,Sagittarius
11,5,1973,3,39,PM,Capricorn
12,7,1973,9,37,PM,Aquarius
1,29,1974,7,51,PM,Capricorn
2,28,1974,2,25,PM,Aquarius
4,6,1974,2,17,PM,Pisces
5,4,1974,8,21,PM,Aries
5,31,1974,7,19,AM,Taurus
6,25,1974,11,44,PM,Gemini
7,21,1974,4,34,AM,Cancer
8,14,1974,11,47,PM,Leo
9,8,1974,10,28,AM,Virgo
10,2,1974,2,27,PM,Libra
10,26,1974,2,12,PM,Scorpio
11,19,1974,11,56,AM,Sagittarius
12,13,1974,9,6,AM,Capricorn
1,6,1975,6,39,AM,Aquarius
1,30,1975,6,5,AM,Pisces
2,23,1975,9,53,AM,Aries
3,19,1975,9,42,PM,Taurus
4,13,1975,10,26,PM,Gemini
5,9,1975,8,11,PM,Cancer
6,6,1975,10,54,AM,Leo
7,9,1975,11,6,AM,Virgo
9,2,1975,3,34,PM,Leo
10,3,1975,5,19,AM,Virgo
11,9,1975,1,52,PM,Libra
12,7,1975,12,29,AM,Scorpio
1,1,1976,12,14,PM,Sagittarius
1,26,1976,6,9,AM,Capricorn
2,19,1976,4,50,PM,Aquarius
3,15,1976,12,59,AM,Pisces
4,8,1976,8,56,AM,Aries
5,2,1976,5,49,PM,Taurus
5,27,1976,3,43,AM,Gemini
6,20,1976,1,56,PM,Cancer
7,14,1976,11,36,PM,Leo
8,8,1976,8,36,AM,Virgo
9,1,1976,5,44,PM,Libra
9,26,1976,4,17,AM,Scorpio
10,20,1976,5,22,PM,Sagittarius
11,14,1976,10,42,AM,Capricorn
12,9,1976,12,53,PM,Aquarius
1,4,1977,1,1,PM,Pisces
2,2,1977,5,54,AM,Aries
6,6,1977,6,10,AM,Taurus
7,6,1977,3,9,PM,Gemini
8,2,1977,7,19,PM,Cancer
8,28,1977,3,9,PM,Leo
9,22,1977,3,5,PM,Virgo
10,17,1977,1,37,AM,Libra
11,10,1977,3,52,AM,Scorpio
12,4,1977,1,49,AM,Sagittarius
12,27,1977,10,9,PM,Capricorn
1,20,1978,6,29,PM,Aquarius
2,13,1978,4,7,PM,Pisces
3,9,1978,4,29,PM,Aries
4,2,1978,9,14,PM,Taurus
4,27,1978,7,53,AM,Gemini
5,22,1978,2,3,AM,Cancer
6,16,1978,6,19,AM,Leo
7,12,1978,2,14,AM,Virgo
8,8,1978,3,8,AM,Libra
9,7,1978,5,7,AM,Scorpio
1,7,1979,6,38,AM,Sagittarius
2,5,1979,9,16,AM,Capricorn
3,3,1979,5,18,PM,Aquarius
3,29,1979,3,18,AM,Pisces
4,23,1979,4,2,AM,Aries
5,18,1979,12,29,AM,Taurus
6,11,1979,6,13,PM,Gemini
7,6,1979,9,2,AM,Cancer
7,30,1979,8,7,PM,Leo
8,24,1979,3,16,AM,Virgo
9,17,1979,7,21,AM,Libra
10,11,1979,9,48,AM,Scorpio
11,4,1979,11,50,AM,Sagittarius
11,28,1979,2,20,PM,Capricorn
12,22,1979,6,35,PM,Aquarius
1,16,1980,3,37,AM,Pisces
2,9,1980,11,39,PM,Aries
3,6,1980,6,54,PM,Taurus
4,3,1980,7,46,PM,Gemini
5,12,1980,8,53,PM,Cancer
6,5,1980,5,44,AM,Gemini
8,6,1980,2,25,PM,Cancer
9,7,1980,5,57,PM,Leo
10,4,1980,11,7,PM,Virgo
10,30,1980,10,38,AM,Libra
11,24,1980,1,35,AM,Scorpio
12,18,1980,6,21,AM,Sagittarius
1,11,1981,6,48,AM,Capricorn
2,4,1981,6,7,AM,Aquarius
2,28,1981,6,1,AM,Pisces
3,24,1981,7,43,AM,Aries
